# orin-iomem.txt -- H3 live harvest of the Jetson Orin Nano over ssh, 2026-09-09 (board local time ~15:36, uptime 16h). READ-ONLY; sudo -n used only for dmesg/iomem/blkid/efibootmgr/ESP listing/ESRT/fuser.
# Redacted: login/hostname -> <user>, LAN IPs -> <orin-ip>/<lan-ip>, ssh key -> <orin-key>, MAC -> <mac>, NVMe serial/EUI -> <nvme-serial>/<nvme-eui>. NUL bytes stripped.
# Producing scripts: h3-a.sh / h3-c.sh / h3-f.sh / h3-d.sh (scratchpad); section markers === [x] === are the script sections.

=== [g] memory map ===
--- sudo -n cat /proc/iomem
03230000-03230fff : 3230000.spi spi@3230000
03280000-0328ffff : 3280000.pwm pwm@3280000
032a0000-032affff : 32a0000.pwm pwm@32a0000
032c0000-032cffff : 32c0000.pwm pwm@32c0000
032e0000-032effff : 32e0000.pwm pwm@32e0000
03400000-0341ffff : 3400000.mmc mmc@3400000
03510000-0351ffff : 3510000.hda hda@3510000
03520000-0353ffff : 3520000.padctl padctl
03540000-0354ffff : 3520000.padctl ao
03550000-03557fff : 3550000.usb base
03558000-0355ffff : 3550000.usb fpci
03600000-0360ffff : 3610000.usb fpci
03610000-0364ffff : 3610000.usb hcd
03650000-0365ffff : 3610000.usb bar2
03810000-0381ffff : 3810000.fuse fuse@3810000
03990000-0399fffe : nvidia
039c0000-039c000f : 39c0000.tachometer tachometer@39c0000
03c00000-03c9ffff : 3c00000.hsp hsp@3c00000
03d00000-03d9ffff : 3d00000.hsp hsp@3d00000
03e00000-03e0ffff : 3e00000.phy ctl
03e10000-03e1ffff : 3e10000.phy ctl
03e20000-03e2ffff : 3e20000.phy ctl
03e30000-03e3ffff : 3e30000.phy ctl
03e40000-03e4ffff : 3e40000.phy ctl
03e50000-03e5ffff : 3e50000.phy ctl
03e60000-03e6ffff : 3e60000.phy ctl
03e70000-03e7ffff : 3e70000.phy ctl
03e90000-03e9ffff : 3e90000.phy ctl
03ea0000-03eaffff : 3ea0000.phy ctl
03eb0000-03ebffff : 3eb0000.phy ctl
03ec0000-03ecffff : 3ec0000.phy ctl
03ed0000-03edffff : 3ed0000.phy ctl
03ee0000-03eeffff : 3ee0000.phy ctl
03ef0000-03efffff : 3ef0000.phy ctl
03f00000-03f0ffff : 3f00000.phy ctl
03f20000-03f2ffff : 3f20000.phy ctl
03f30000-03f3ffff : 3f30000.phy ctl
03f40000-03f4ffff : 3f40000.phy ctl
03f50000-03f5ffff : 3f50000.phy ctl
03f60000-03f6ffff : 3f60000.phy ctl
03f70000-03f7ffff : 3f70000.phy ctl
03f80000-03f8ffff : 3f80000.phy ctl
03f90000-03f9ffff : 3f90000.phy ctl
07000000-07ffffff : 8000000.iommu iommu@8000000
08000000-08ffffff : 8000000.iommu iommu@8000000
0b950000-0b9dffff : b950000.tegra-hsp tegra-hsp@b950000
0b9f0000-0ba2ffff : bc00000.rtcpu rce-pm
0be00000-0be3ffff : be00000.rce-fabric rce-fabric@be00000
0c150000-0c1dffff : c150000.hsp hsp@c150000
0c1e0000-0c1effff : c1e0000.hardware-timestamp hardware-timestamp@c1e0000
0c240000-0c2400ff : c240000.i2c i2c@c240000
0c250000-0c2500ff : c250000.i2c i2c@c250000
0c2a0000-0c2affff : c2a0000.rtc rtc@c2a0000
0c2f0000-0c2f0fff : c2f0000.gpio security
0c2f1000-0c2f1fff : c2f0000.gpio gpio
0c300000-0c303fff : c300000.pinmux pinmux@c300000
0c310000-0c310143 : c310000.mttcan can-regs
0c311000-0c311031 : c310000.mttcan glue-regs
0c312000-0c312fff : c310000.mttcan msg-ram
0c360000-0c36ffff : c360000.pmc pmc
0c370000-0c37ffff : c360000.pmc wake
0c380000-0c38ffff : c360000.pmc aotag
0c390000-0c39ffff : c360000.pmc scratch
0c600000-0c63ffff : c600000.aon-fabric aon-fabric@c600000
0d230000-0d230fff : d230000.actmon actmon@d230000
0d600000-0d63ffff : d600000.bpmp-fabric bpmp-fabric@d600000
0de00000-0de3ffff : de00000.dce-fabric dce-fabric@de00000
0e000000-0e05fffe : e000000.ccplex ccplex@e000000
10000000-10ffffff : 10000000.iommu iommu@10000000
11000000-11ffffff : 12000000.iommu iommu@12000000
12000000-12ffffff : 12000000.iommu iommu@12000000
13800000-138efffd : nvidia
13a00000-13dfffff : 13a00000.cbb-fabric cbb-fabric@13a00000
13e00000-13e0ffff : 13e00000.host1x common
13e10000-13e1ffff : 13e00000.host1x hypervisor
13e40000-13e4ffff : 13e00000.host1x vm
13ef0000-13f4ffff : 13e00000.host1x actmon
140a0000-140bffff : 140a0000.pcie appl
14100000-1411ffff : 14100000.pcie appl
14160000-1417ffff : 14160000.pcie appl
141e0000-141fffff : 141e0000.pcie appl
14800000-1480ffff : 14800000.isp isp@14800000
15340000-1537ffff : 15340000.vic vic@15340000
15380000-153bffff : 15380000.nvjpg nvjpg@15380000
15480000-154bffff : 15480000.nvdec nvdec@15480000
15540000-1557ffff : 15540000.nvjpg nvjpg@15540000
155c0000-155cfffd : nvidia
15a50000-15a8ffff : 15a50000.ofa ofa@15a50000
17000000-17ffffff : 17000000.gpu gpu@17000000
18000000-18ffffff : 17000000.gpu gpu@17000000
2a000000-2a03ffff : 140a0000.pcie config
2a040000-2a07ffff : 140a0000.pcie atu_dma
2a080000-2a0bffff : 140a0000.pcie dbi
30000000-3003ffff : 14100000.pcie config
30040000-3007ffff : 14100000.pcie atu_dma
30080000-300bffff : 14100000.pcie dbi
36000000-3603ffff : 14160000.pcie config
36040000-3607ffff : 14160000.pcie atu_dma
36080000-360bffff : 14160000.pcie dbi
3e000000-3e03ffff : 141e0000.pcie config
3e040000-3e07ffff : 141e0000.pcie atu_dma
3e080000-3e0bffff : 141e0000.pcie dbi
40070000-40070fff : 40000000.sram sram@70000
40071000-40071fff : 40000000.sram sram@71000
80000000-bdffffff : System RAM
  9b290000-9d01ffff : Kernel code
  9d020000-9d79ffff : reserved
  9d7a0000-9dc2ffff : Kernel data
c2000000-fffdffff : System RAM
  fbfe0000-fffdffff : reserved
fffe0000-ffffffff : reserved
100000000-25e20dfff : System RAM
  24a000000-259ffffff : reserved
  25a700000-25a73dfff : reserved
  25a900000-25b830fff : reserved
25e20e000-25e3fffff : reserved
  25e3f0000-25e3f0fff : reserved
25e400000-25e40afff : System RAM
  25e406000-25e406fff : reserved
  25e408000-25e409fff : reserved
  25e40a000-25e40afff : reserved
25e40b000-25e40bfff : reserved
25e40c000-26b8effff : System RAM
  25f200000-266ffffff : reserved
  2671a6000-2671a6fff : reserved
  2671e4000-2671e4fff : reserved
26b8f0000-26d82ffff : reserved
26d830000-271dfffff : System RAM
  270582000-270641fff : reserved
  270642000-2712f0fff : reserved
  2712f3000-2712f4fff : reserved
  2712f5000-2712f5fff : reserved
  2712f6000-2712f6fff : reserved
  2712f7000-27130afff : reserved
  27130b000-271dfffff : reserved
271e00000-271ffffff : reserved
272000000-27259ffff : System RAM
  272000000-27259ffff : reserved
272f00000-272ffffff : reserved
276000000-277ffffff : reserved
2080000000-20a7ffffff : pcie@14100000
20a8000000-20afffffff : pcie@14100000
  20a8000000-20a80fffff : PCI Bus 0001:01
    20a8000000-20a800ffff : 0001:01:00.0
      20a8000000-20a800ffff : rtl88x2ce
2140000000-2427ffffff : pcie@14160000
2428000000-242fffffff : pcie@14160000
  2428000000-24280fffff : PCI Bus 0004:01
    2428000000-2428003fff : 0004:01:00.0
      2428000000-2428003fff : nvme
3240000000-3527ffffff : pcie@140a0000
3528000000-352fffffff : pcie@140a0000
  3528000000-35280fffff : PCI Bus 0008:01
    3528000000-3528003fff : 0008:01:00.0
      3528000000-3528003fff : r8168
    3528004000-3528004fff : 0008:01:00.0
      3528004000-3528004fff : r8168
=== end F ===
